'of he' | In regular: 95 | In spam: 51 | logProbRegular: -4.545867 | logProbSpam: -5.535635
'received from' | In regular: 93 | In spam: 31 | logProbRegular: -4.567144 | logProbSpam: -6.033473
'wih esmtp' | In regular: 57 | In spam: 11 | logProbRegular: -5.056693 | logProbSpam: -7.069565
'esmtp id' | In regular: 57 | In spam: 11 | logProbRegular: -5.056693 | logProbSpam: -7.069565
'for more' | In regular: 31 | In spam: 19 | logProbRegular: -5.665757 | logProbSpam: -6.523021
'please coac' | In regular: 32 | In spam: 15 | logProbRegular: -5.634008 | logProbSpam: -6.759410
'be clea\n' | In regular: 29 | In spam: 15 | logProbRegular: -5.732448 | logProbSpam: -6.759410
'xaimailscaeriformaio please' | In regular: 27 | In spam: 15 | logProbRegular: -5.803907 | logProbSpam: -6.759410
'coac helpdeskairugl' | In regular: 27 | In spam: 15 | logProbRegular: -5.803907 | logProbSpam: -6.759410
'helpdeskairugl for' | In regular: 27 | In spam: 15 | logProbRegular: -5.803907 | logProbSpam: -6.759410
'more iformaio\n' | In regular: 27 | In spam: 15 | logProbRegular: -5.803907 | logProbSpam: -6.759410
'xaimailscaer foud' | In regular: 27 | In spam: 15 | logProbRegular: -5.803907 | logProbSpam: -6.759410
'spam spamassassi' | In regular: 22 | In spam: 15 | logProbRegular: -6.008701 | logProbSpam: -6.759410
'\tfor mbulacuairugl' | In regular: 19 | In spam: 18 | logProbRegular: -6.155305 | logProbSpam: -6.577088
'will be' | In regular: 31 | In spam: 5 | logProbRegular: -5.665757 | logProbSpam: -7.858022
'saus ro\n' | In regular: 24 | In spam: 7 | logProbRegular: -5.921690 | logProbSpam: -7.521550
'xsaus u\n' | In regular: 24 | In spam: 7 | logProbRegular: -5.921690 | logProbSpam: -7.521550
'the isiue' | In regular: 31 | In spam: 0 | logProbRegular: -5.665757 | logProbSpam: -11.197530
'for he' | In regular: 14 | In spam: 14 | logProbRegular: -6.460687 | logProbSpam: -6.828403
'to mbulacuairugl\n' | In regular: 10 | In spam: 16 | logProbRegular: -6.797159 | logProbSpam: -6.694871
'wih he' | In regular: 10 | In spam: 16 | logProbRegular: -6.797159 | logProbSpam: -6.694871
'by he' | In regular: 20 | In spam: 6 | logProbRegular: -6.104012 | logProbSpam: -7.675701
'ad he' | In regular: 9 | In spam: 15 | logProbRegular: -6.902519 | logProbSpam: -6.759410
'if you' | In regular: 17 | In spam: 7 | logProbRegular: -6.266531 | logProbSpam: -7.521550
'docume codes' | In regular: 0 | In spam: 23 | logProbRegular: -11.197530 | logProbSpam: -6.331966
'he ieee' | In regular: 22 | In spam: 0 | logProbRegular: -6.008701 | logProbSpam: -11.197530
'coetrasferecodig quoedpriable\n' | In regular: 12 | In spam: 10 | logProbRegular: -6.614837 | logProbSpam: -7.164875
'coetype eplai\n' | In regular: 15 | In spam: 6 | logProbRegular: -6.391694 | logProbSpam: -7.675701
'is he' | In regular: 9 | In spam: 12 | logProbRegular: -6.902519 | logProbSpam: -6.982553
'from he' | In regular: 8 | In spam: 12 | logProbRegular: -7.020302 | logProbSpam: -6.982553
'you will' | In regular: 11 | In spam: 9 | logProbRegular: -6.701849 | logProbSpam: -7.270236
'wih smtp' | In regular: 4 | In spam: 16 | logProbRegular: -7.713450 | logProbSpam: -6.694871
'new scieis' | In regular: 20 | In spam: 0 | logProbRegular: -6.104012 | logProbSpam: -11.197530
'fores service' | In regular: 0 | In spam: 20 | logProbRegular: -11.197530 | logProbSpam: -6.471728
'he us' | In regular: 5 | In spam: 14 | logProbRegular: -7.490306 | logProbSpam: -6.828403
'he bes' | In regular: 3 | In spam: 15 | logProbRegular: -8.001132 | logProbSpam: -6.759410
'subjec spam' | In regular: 2 | In spam: 16 | logProbRegular: -8.406597 | logProbSpam: -6.694871
'this is' | In regular: 14 | In spam: 3 | logProbRegular: -6.460687 | logProbSpam: -8.368848
'uiversiy of' | In regular: 15 | In spam: 2 | logProbRegular: -6.391694 | logProbSpam: -8.774313
'xaimailscaerspamcheck spam' | In regular: 2 | In spam: 15 | logProbRegular: -8.406597 | logProbSpam: -6.759410
'us fores' | In regular: 0 | In spam: 17 | logProbRegular: -11.197530 | logProbSpam: -6.634247
'abou he' | In regular: 13 | In spam: 3 | logProbRegular: -6.534795 | logProbSpam: -8.368848
'coetype muliparaleraive\n' | In regular: 6 | In spam: 10 | logProbRegular: -7.307984 | logProbSpam: -7.164875
'coetype ehml\n' | In regular: 7 | In spam: 9 | logProbRegular: -7.153834 | logProbSpam: -7.270236
'job sar' | In regular: 16 | In spam: 0 | logProbRegular: -6.327155 | logProbSpam: -11.197530
'job ed' | In regular: 16 | In spam: 0 | logProbRegular: -6.327155 | logProbSpam: -11.197530
'lis prefereces\n' | In regular: 0 | In spam: 16 | logProbRegular: -11.197530 | logProbSpam: -6.694871
'value var' | In regular: 0 | In spam: 16 | logProbRegular: -11.197530 | logProbSpam: -6.694871
'you ca' | In regular: 7 | In spam: 8 | logProbRegular: -7.153834 | logProbSpam: -7.388019
'you have' | In regular: 7 | In spam: 8 | logProbRegular: -7.153834 | logProbSpam: -7.388019
'smtp id' | In regular: 4 | In spam: 11 | logProbRegular: -7.713450 | logProbSpam: -7.069565
'you are' | In regular: 9 | In spam: 5 | logProbRegular: -6.902519 | logProbSpam: -7.858022
'aircraf spares' | In regular: 0 | In spam: 14 | logProbRegular: -11.197530 | logProbSpam: -6.828403
'mbulacuairugl tue' | In regular: 8 | In spam: 5 | logProbRegular: -7.020302 | logProbSpam: -7.858022
'as he' | In regular: 4 | In spam: 9 | logProbRegular: -7.713450 | logProbSpam: -7.270236
'wihi he' | In regular: 10 | In spam: 3 | logProbRegular: -6.797159 | logProbSpam: -8.368848
'ad is' | In regular: 8 | In spam: 5 | logProbRegular: -7.020302 | logProbSpam: -7.858022
'helveica sasserif' | In regular: 13 | In spam: 0 | logProbRegular: -6.534795 | logProbSpam: -11.197530
'pos is' | In regular: 12 | In spam: 1 | logProbRegular: -6.614837 | logProbSpam: -9.467460
'dae mo' | In regular: 10 | In spam: 2 | logProbRegular: -6.797159 | logProbSpam: -8.774313
'isiue olie' | In regular: 12 | In spam: 0 | logProbRegular: -6.614837 | logProbSpam: -11.197530
'ha he' | In regular: 8 | In spam: 4 | logProbRegular: -7.020302 | logProbSpam: -8.081166
'members of' | In regular: 12 | In spam: 0 | logProbRegular: -6.614837 | logProbSpam: -11.197530
'ca be' | In regular: 7 | In spam: 5 | logProbRegular: -7.153834 | logProbSpam: -7.858022
'have bee' | In regular: 2 | In spam: 10 | logProbRegular: -8.406597 | logProbSpam: -7.164875
'ad global' | In regular: 12 | In spam: 0 | logProbRegular: -6.614837 | logProbSpam: -11.197530
'ieraioal coferece' | In regular: 12 | In spam: 0 | logProbRegular: -6.614837 | logProbSpam: -11.197530
'arizoa aircraf' | In regular: 0 | In spam: 12 | logProbRegular: -11.197530 | logProbSpam: -6.982553
'updae lis' | In regular: 0 | In spam: 12 | logProbRegular: -11.197530 | logProbSpam: -6.982553
'mb tech' | In regular: 0 | In spam: 12 | logProbRegular: -11.197530 | logProbSpam: -6.982553
'ivie you' | In regular: 9 | In spam: 2 | logProbRegular: -6.902519 | logProbSpam: -8.774313
'web sie' | In regular: 6 | In spam: 5 | logProbRegular: -7.307984 | logProbSpam: -7.858022
'par of' | In regular: 7 | In spam: 4 | logProbRegular: -7.153834 | logProbSpam: -8.081166
'members who' | In regular: 11 | In spam: 0 | logProbRegular: -6.701849 | logProbSpam: -11.197530
'ad you' | In regular: 9 | In spam: 2 | logProbRegular: -6.902519 | logProbSpam: -8.774313
'please sed' | In regular: 11 | In spam: 0 | logProbRegular: -6.701849 | logProbSpam: -11.197530
'dae tue' | In regular: 7 | In spam: 4 | logProbRegular: -7.153834 | logProbSpam: -8.081166
'may be' | In regular: 4 | In spam: 7 | logProbRegular: -7.713450 | logProbSpam: -7.521550
'you would' | In regular: 10 | In spam: 1 | logProbRegular: -6.797159 | logProbSpam: -9.467460
'he ieraioal' | In regular: 9 | In spam: 2 | logProbRegular: -6.902519 | logProbSpam: -8.774313
'more iformaio' | In regular: 8 | In spam: 3 | logProbRegular: -7.020302 | logProbSpam: -8.368848
'sock marke' | In regular: 0 | In spam: 11 | logProbRegular: -11.197530 | logProbSpam: -7.069565
'sock opios' | In regular: 0 | In spam: 11 | logProbRegular: -11.197530 | logProbSpam: -7.069565
'be held' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'olie aler' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'mulipar message' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'mime forma\n' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'of your' | In regular: 8 | In spam: 2 | logProbRegular: -7.020302 | logProbSpam: -8.774313
'such as' | In regular: 4 | In spam: 6 | logProbRegular: -7.713450 | logProbSpam: -7.675701
'email aler' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'iformaio abou' | In regular: 9 | In spam: 1 | logProbRegular: -6.902519 | logProbSpam: -9.467460
'we are' | In regular: 4 | In spam: 6 | logProbRegular: -7.713450 | logProbSpam: -7.675701
'developme of' | In regular: 5 | In spam: 5 | logProbRegular: -7.490306 | logProbSpam: -7.858022
'should have' | In regular: 10 | In spam: 0 | logProbRegular: -6.797159 | logProbSpam: -11.197530
'or your' | In regular: 6 | In spam: 4 | logProbRegular: -7.307984 | logProbSpam: -8.081166
'us goverme' | In regular: 0 | In spam: 10 | logProbRegular: -11.197530 | logProbSpam: -7.164875
'eve if' | In regular: 0 | In spam: 10 | logProbRegular: -11.197530 | logProbSpam: -7.164875
'your lis' | In regular: 0 | In spam: 10 | logProbRegular: -11.197530 | logProbSpam: -7.164875
'of the' | In regular: 6 | In spam: 3 | logProbRegular: -7.307984 | logProbSpam: -8.368848
'fid ou' | In regular: 5 | In spam: 4 | logProbRegular: -7.490306 | logProbSpam: -8.081166
'he aler' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'those members' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'do so' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'as well' | In regular: 2 | In spam: 7 | logProbRegular: -8.406597 | logProbSpam: -7.521550
'amserdam nl\n' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'deparme of' | In regular: 7 | In spam: 2 | logProbRegular: -7.153834 | logProbSpam: -8.774313
'scieis is' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'xsaus n\n' | In regular: 1 | In spam: 8 | logProbRegular: -9.099744 | logProbSpam: -7.388019
'ad oher' | In regular: 5 | In spam: 4 | logProbRegular: -7.490306 | logProbSpam: -8.081166
'oe of' | In regular: 3 | In spam: 6 | logProbRegular: -8.001132 | logProbSpam: -7.675701
'regioal ad' | In regular: 9 | In spam: 0 | logProbRegular: -6.902519 | logProbSpam: -11.197530
'he world' | In regular: 1 | In spam: 8 | logProbRegular: -9.099744 | logProbSpam: -7.388019
'he compay' | In regular: 0 | In spam: 9 | logProbRegular: -11.197530 | logProbSpam: -7.270236
'jois com' | In regular: 0 | In spam: 9 | logProbRegular: -11.197530 | logProbSpam: -7.270236
'ge he' | In regular: 0 | In spam: 9 | logProbRegular: -11.197530 | logProbSpam: -7.270236
'diploma program\n' | In regular: 0 | In spam: 9 | logProbRegular: -11.197530 | logProbSpam: -7.270236
'dae wed' | In regular: 7 | In spam: 1 | logProbRegular: -7.153834 | logProbSpam: -9.467460
'has bee' | In regular: 4 | In spam: 4 | logProbRegular: -7.713450 | logProbSpam: -8.081166
'read more' | In regular: 7 | In spam: 1 | logProbRegular: -7.153834 | logProbSpam: -9.467460
'ca help' | In regular: 4 | In spam: 4 | logProbRegular: -7.713450 | logProbSpam: -8.081166
'you may' | In regular: 7 | In spam: 1 | logProbRegular: -7.153834 | logProbSpam: -9.467460
'from localhos' | In regular: 8 | In spam: 0 | logProbRegular: -7.020302 | logProbSpam: -11.197530
'from depppswrugl' | In regular: 5 | In spam: 3 | logProbRegular: -7.490306 | logProbSpam: -8.368848
'for your' | In regular: 2 | In spam: 6 | logProbRegular: -8.406597 | logProbSpam: -7.675701
'is available' | In regular: 7 | In spam: 1 | logProbRegular: -7.153834 | logProbSpam: -9.467460
'aid docume' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'asp aid' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'bc ba' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'more prosperous' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'prosperous fuure' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'fuure for' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'for yourself\n' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'full diploma' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'diploma from' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'uiversiies based' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'based upo' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'upo your' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'your real' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'real life' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'life eperiece\n' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'be esed' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'esed or' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'or ierviewed\n' | In regular: 0 | In spam: 8 | logProbRegular: -11.197530 | logProbSpam: -7.388019
'mbulacuairugl mo' | In regular: 5 | In spam: 2 | logProbRegular: -7.490306 | logProbSpam: -8.774313
'click here' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'wih your' | In regular: 6 | In spam: 1 | logProbRegular: -7.307984 | logProbSpam: -9.467460
'email addresses' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'depppswrugl depppswrugl' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'\tby depppswrugl' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'would like' | In regular: 7 | In spam: 0 | logProbRegular: -7.153834 | logProbSpam: -11.197530
'of heir' | In regular: 5 | In spam: 2 | logProbRegular: -7.490306 | logProbSpam: -8.774313
'dae fri' | In regular: 4 | In spam: 3 | logProbRegular: -7.713450 | logProbSpam: -8.368848
'io he' | In regular: 2 | In spam: 5 | logProbRegular: -8.406597 | logProbSpam: -7.858022
